"strain" "primers" "time" "mean" "sd" "experiment_ID"
"5416" "oRG235_oRG236" 1 0.0115852147108158 0.00267754199380412 4
"5416" "oRG235_oRG236" 2 0.018183262281173 0.00148358869470882 4
"5416" "oRG235_oRG236" 4 0.280633084033683 0.0286022550423402 4
"5416" "oRG235_oRG236" 6 0.577878032687425 0.0553642314394347 4
"5417" "oRG800_oRG801" 0 0 NA 4
"5417" "oRG800_oRG801" 1 0.0172545485898257 0.00483059732642892 4
"5417" "oRG800_oRG801" 2 0.0288143203199596 0.00833712679416557 4
"5417" "oRG800_oRG801" 4 0.253899063569619 0.0574196427731222 4
"5417" "oRG800_oRG801" 6 0.394621334243946 0.0681161942454548 4
"5417" "oRG235_oRG236" 0 0 NA 4
"5417" "oRG235_oRG236" 1 0.0113614728746964 0.00314016535542816 4
"5417" "oRG235_oRG236" 2 0.00934924819074234 0.0022236650510384 4
"5417" "oRG235_oRG236" 4 0.0285319842155868 0.00653408443226659 4
"5417" "oRG235_oRG236" 6 0.0643350731983762 0.0199488318489954 4
"5453" "oRG800_oRG801" 0 0 NA 4
"5453" "oRG800_oRG801" 1 0.253810480820016 0.0470056559041767 4
"5453" "oRG800_oRG801" 2 0.648635734363774 0.0476802982167073 4
"5453" "oRG800_oRG801" 4 0.702067954660327 0.0971862030750116 4
"5453" "oRG800_oRG801" 6 0.66352776400202 0.0485362057300715 4
"5453" "oRG235_oRG236" 0 0 NA 4
"5453" "oRG235_oRG236" 1 0.0297702197237932 0.0045736972834059 4
"5453" "oRG235_oRG236" 2 0.432295355255334 0.0712743248180447 4
"5453" "oRG235_oRG236" 4 0.49469953679913 0.0720476675828339 4
"5453" "oRG235_oRG236" 6 0.459001942827563 0.0609657342122036 4
"5454" "oRG800_oRG801" 0 0 NA 4
"5454" "oRG800_oRG801" 1 0.584751719069635 0.0758195542355147 4
"5454" "oRG800_oRG801" 2 0.641944359807623 0.0661398153484794 4
"5454" "oRG800_oRG801" 4 0.686901224892879 0.0517303842980255 4
"5454" "oRG800_oRG801" 6 0.723801449581145 0.0803626215101605 4
"5454" "oRG235_oRG236" 0 0 NA 4
"5454" "oRG235_oRG236" 1 0.136020439532915 0.0262840157587386 4
"5454" "oRG235_oRG236" 2 0.414838275349769 0.0583951218191165 4
"5454" "oRG235_oRG236" 4 0.469323935043112 0.065077249082037 4
"5454" "oRG235_oRG236" 6 0.517694003292324 0.0542095891694296 4
"5451" "oRG50_oRG51" 0 0 NA 5
"5451" "oRG50_oRG51" 1 0.615816046058542 0.15370183888142 5
"5451" "oRG50_oRG51" 2 0.83763917121503 0.0657989968946203 5
"5451" "oRG50_oRG51" 4 0.927830428112044 0.116988867501761 5
"5451" "oRG52_oRG53" 0 0 NA 5
"5451" "oRG52_oRG53" 1 0.0550818819895185 0.0168764525648054 5
"5451" "oRG52_oRG53" 2 0.0752003294534504 0.00653312445613647 5
"5451" "oRG52_oRG53" 4 0.151776859360319 0.018877538091267 5
"5452" "oRG50_oRG51" 0 0 NA 5
"5452" "oRG50_oRG51" 1 0.776876553618368 0.104595515410202 5
"5452" "oRG50_oRG51" 2 0.959009790677343 0.0804160160830085 5
"5452" "oRG50_oRG51" 4 0.960432530614652 0.080753993689552 5
"5452" "oRG52_oRG53" 0 0 NA 5
"5452" "oRG52_oRG53" 1 0.0577188295012879 0.00987372781295381 5
"5452" "oRG52_oRG53" 2 0.16298050998433 0.0229567146149271 5
"5452" "oRG52_oRG53" 4 0.366970603493873 0.0282058717505721 5
"5758" "oRG50_oRG51" 0 0 NA 5
"5758" "oRG50_oRG51" 1 0.983571073184739 0.10833731100012 5
"5758" "oRG50_oRG51" 2 0.945184300129803 0.0969612678179057 5
"5758" "oRG50_oRG51" 4 0.988845699069536 0.094206310766898 5
"5758" "oRG52_oRG53" 0 0 NA 5
"5758" "oRG52_oRG53" 1 0.129305145744907 0.0199652635427351 5
"5758" "oRG52_oRG53" 2 0.166407744057685 0.0246125282905177 5
"5758" "oRG52_oRG53" 4 0.358530626143798 0.028842899857236 5
"5451" "oRG50_oRG51" 0 0 NA 6
"5451" "oRG50_oRG51" 1 0.56091963240898 0.0714837100554322 6
"5451" "oRG50_oRG51" 2 0.754180289382543 0.0830446247309945 6
"5451" "oRG50_oRG51" 4 0.854563345138585 0.0747676244398666 6
"5451" "oRG52_oRG53" 0 0 NA 6
"5451" "oRG52_oRG53" 1 0.0681986480039211 0.00933214638475253 6
"5451" "oRG52_oRG53" 2 0.0647216623397981 0.00481870402750284 6
"5451" "oRG52_oRG53" 4 0.133422190533342 0.0159986613728564 6
"5452" "oRG50_oRG51" 0 0 NA 6
"5452" "oRG50_oRG51" 1 0.799636775935491 0.0844907086312204 6
"5452" "oRG50_oRG51" 2 0.920311771591379 0.11392755536984 6
"5452" "oRG50_oRG51" 4 0.978374076698267 0.0798215781778855 6
"5452" "oRG52_oRG53" 0 0 NA 6
"5452" "oRG52_oRG53" 1 0.0491012098757872 0.00537331716864115 6
"5452" "oRG52_oRG53" 2 0.12383962343273 0.0141197126197808 6
"5452" "oRG52_oRG53" 4 0.29867848998122 0.0401995828729858 6
"5758" "oRG50_oRG51" 0 0 NA 6
"5758" "oRG50_oRG51" 1 1.00489391044426 0.213082027772262 6
"5758" "oRG50_oRG51" 2 0.972204000491245 0.114930400426522 6
"5758" "oRG50_oRG51" 4 0.996510185867078 0.0742008119632869 6
"5758" "oRG52_oRG53" 0 0 NA 6
"5758" "oRG52_oRG53" 1 0.118837745650617 0.0301633925692547 6
"5758" "oRG52_oRG53" 2 0.161422008967814 0.0303386224398109 6
"5758" "oRG52_oRG53" 4 0.373781881381543 0.0383798180063263 6
"4741-8C" "oRG50_oRG51" 0 0 NA 7
"4741-8C" "oRG50_oRG51" 1 0.343523981081096 0.066033913571639 7
"4741-8C" "oRG50_oRG51" 2 0.727628410803195 0.0918161716068602 7
"4741-8C" "oRG50_oRG51" 4 0.873700207630279 0.0298607476014038 7
"4741-8C" "oRG52_oRG53" 0 0 NA 7
"4741-8C" "oRG52_oRG53" 1 0.0202111620676584 0.00603812221621409 7
"4741-8C" "oRG52_oRG53" 2 0.0894828875927725 0.017719819091536 7
"4741-8C" "oRG52_oRG53" 4 0.245540341132116 0.0494589802191445 7
"5665-14A" "oRG50_oRG51" 0 0 NA 7
"5665-14A" "oRG50_oRG51" 1 0.266464631403273 0.0390706489739791 7
"5665-14A" "oRG50_oRG51" 2 0.649046765197834 0.0623638171032766 7
"5665-14A" "oRG50_oRG51" 4 0.731395070180549 0.0728905254249611 7
"5665-14A" "oRG52_oRG53" 0 0 NA 7
"5665-14A" "oRG52_oRG53" 1 0.0236725615549512 0.00415450797663503 7
"5665-14A" "oRG52_oRG53" 2 0.0619274785194919 0.00620929396988922 7
"5665-14A" "oRG52_oRG53" 4 0.231889062566433 0.0279838836138507 7
"5495-30D" "oRG50_oRG51" 0 0 NA 7
"5495-30D" "oRG50_oRG51" 1 0.292562337839075 0.0166335543736446 7
"5495-30D" "oRG50_oRG51" 2 0.691055692225773 0.0908280791252227 7
"5495-30D" "oRG50_oRG51" 4 0.895527972222316 0.054842951737455 7
"5495-30D" "oRG52_oRG53" 0 0 NA 7
"5495-30D" "oRG52_oRG53" 1 0.00942328032373421 0.00144084832279252 7
"5495-30D" "oRG52_oRG53" 2 0.0346316244649757 0.00706967226758373 7
"5495-30D" "oRG52_oRG53" 4 0.14395855011862 0.0225426840259928 7
"5665-12B" "oRG50_oRG51" 0 0 NA 7
"5665-12B" "oRG50_oRG51" 1 0.286314025482532 0.0330419940946309 7
"5665-12B" "oRG50_oRG51" 2 0.774424744013289 0.0650580173743363 7
"5665-12B" "oRG50_oRG51" 4 0.838569596995321 0.0794738583661558 7
"5665-12B" "oRG52_oRG53" 0 0 NA 7
"5665-12B" "oRG52_oRG53" 1 0.0106416120354776 0.000956583738696397 7
"5665-12B" "oRG52_oRG53" 2 0.0408109004240714 0.00700007930004147 7
"5665-12B" "oRG52_oRG53" 4 0.148708132317529 0.0164339374808837 7
"5495-30D" "oRG50_oRG51" 0 0 NA 8
"5495-30D" "oRG50_oRG51" 1 0.351246348043647 0.045364558301064 8
"5495-30D" "oRG50_oRG51" 2 0.784966237746047 0.0643745869779146 8
"5495-30D" "oRG50_oRG51" 4 0.932949844354014 0.0765865372334778 8
"5495-30D" "oRG52_oRG53" 0 0 NA 8
"5495-30D" "oRG52_oRG53" 1 0.0320455400199229 0.00500821146061911 8
"5495-30D" "oRG52_oRG53" 2 0.0575561053848814 0.0101131920418647 8
"5495-30D" "oRG52_oRG53" 4 0.139224932084176 0.0358156673143997 8
"5692-15B" "oRG50_oRG51" 0 0 NA 8
"5692-15B" "oRG50_oRG51" 1 0.23527086810768 0.0254008980675926 8
"5692-15B" "oRG50_oRG51" 2 0.598634134426595 0.0563984365170872 8
"5692-15B" "oRG50_oRG51" 4 0.879392114873419 0.0970152738725291 8
"5692-15B" "oRG52_oRG53" 0 0 NA 8
"5692-15B" "oRG52_oRG53" 1 0.0298277677076475 0.00369129111385711 8
"5692-15B" "oRG52_oRG53" 2 0.0312414935806042 0.00331836357870975 8
"5692-15B" "oRG52_oRG53" 4 0.0744259666384668 0.0148291024446175 8
"4518-13B" "oRG50_oRG51" 0 0 NA 9
"4518-13B" "oRG50_oRG51" 1 0.887493440593048 0.0573473820320021 9
"4518-13B" "oRG50_oRG51" 2 0.947875340551744 0.0591400555264861 9
"4518-13B" "oRG50_oRG51" 4 0.99695190288766 0.0568936845643102 9
"4518-13B" "oRG52_oRG53" 0 0 NA 9
"4518-13B" "oRG52_oRG53" 1 0.0558859817576871 0.00644177032316335 9
"4518-13B" "oRG52_oRG53" 2 0.242921323211768 0.0242154985303645 9
"4518-13B" "oRG52_oRG53" 4 0.48524898809364 0.0259346329647022 9
"5415" "oRG50_oRG51" 0 0 NA 9
"5415" "oRG50_oRG51" 1 0.513300793364081 0.0484096673574672 9
"5415" "oRG50_oRG51" 2 0.80579820233853 0.0438933148993575 9
"5415" "oRG50_oRG51" 4 0.946597786715432 0.0393666808925228 9
"5415" "oRG52_oRG53" 0 0 NA 9
"5415" "oRG52_oRG53" 1 0.0353015275686764 0.00611483683367297 9
"5415" "oRG52_oRG53" 2 0.0377076667425577 0.00526651115807116 9
"5415" "oRG52_oRG53" 4 0.114900682648737 0.0072522293614208 9
"4741-8C" "oRG50_oRG51" 0 0 NA 10
"4741-8C" "oRG50_oRG51" 1 0.31831118895445 0.0668757736518183 10
"4741-8C" "oRG50_oRG51" 2 0.733415426628903 0.112441452963367 10
"4741-8C" "oRG50_oRG51" 4 0.823604010370306 0.0866278680938121 10
"4741-8C" "oRG52_oRG53" 0 0 NA 10
"4741-8C" "oRG52_oRG53" 1 0.0223747738105658 0.00535966250201662 10
"4741-8C" "oRG52_oRG53" 2 0.0818982273523895 0.0171792315330223 10
"4741-8C" "oRG52_oRG53" 4 0.188030289303007 0.0244759491115067 10
"5665-14A" "oRG50_oRG51" 0 0 NA 10
"5665-14A" "oRG50_oRG51" 1 0.261394160471867 0.0181518311977732 10
"5665-14A" "oRG50_oRG51" 2 0.608798319770161 0.0619960041686467 10
"5665-14A" "oRG50_oRG51" 4 0.73328041430021 0.0581475109838905 10
"5665-14A" "oRG52_oRG53" 0 0 NA 10
"5665-14A" "oRG52_oRG53" 1 0.0185844782438242 0.00407040798448117 10
"5665-14A" "oRG52_oRG53" 2 0.0534576564781609 0.00936361351569773 10
"5665-14A" "oRG52_oRG53" 4 0.15821440573566 0.0202323393826685 10
"5733" "oRG50_oRG51" 0 0 NA 10
"5733" "oRG50_oRG51" 1 0.317251705262774 0.0344044086509324 10
"5733" "oRG50_oRG51" 2 0.724646863315506 0.0659467206028316 10
"5733" "oRG50_oRG51" 4 0.784475368290704 0.0739751822586637 10
"5733" "oRG52_oRG53" 0 0 NA 10
"5733" "oRG52_oRG53" 1 0.0201132932709326 0.00340523234273195 10
"5733" "oRG52_oRG53" 2 0.0946435502855736 0.0146587649251498 10
"5733" "oRG52_oRG53" 4 0.203118492008012 0.0261783041609994 10
"5734" "oRG50_oRG51" 0 0 NA 10
"5734" "oRG50_oRG51" 1 0.277316130169266 0.022842564425143 10
"5734" "oRG50_oRG51" 2 0.637821400912455 0.0549500663958549 10
"5734" "oRG50_oRG51" 4 0.741240581964345 0.0684875745287343 10
"5734" "oRG52_oRG53" 0 0 NA 10
"5734" "oRG52_oRG53" 1 0.0175980344394111 0.00177342538541884 10
"5734" "oRG52_oRG53" 2 0.0647216519960301 0.0058596839464256 10
"5734" "oRG52_oRG53" 4 0.218241002864734 0.026455750932641 10
"4518-13B" "oRG50_oRG51" 0 0 NA 11
"4518-13B" "oRG50_oRG51" 1 0.9518180798765 0.131174279153032 11
"4518-13B" "oRG50_oRG51" 2 0.92409352434616 0.0617800993640154 11
"4518-13B" "oRG50_oRG51" 4 0.99478146034013 0.0848911226949459 11
"4518-13B" "oRG52_oRG53" 0 0 NA 11
"4518-13B" "oRG52_oRG53" 1 0.0701165720092239 0.0116672530727131 11
"4518-13B" "oRG52_oRG53" 2 0.215307490055714 0.0229143033917698 11
"4518-13B" "oRG52_oRG53" 4 0.461970982262427 0.0442212739743909 11
"5415" "oRG50_oRG51" 0 0 NA 11
"5415" "oRG50_oRG51" 1 0.584645210802084 0.113357201137243 11
"5415" "oRG50_oRG51" 2 0.790597080878245 0.0593962670653073 11
"5415" "oRG50_oRG51" 4 0.92978290602881 0.0505323704211118 11
