"strain" "primers" "time" "mean" "sd" "experiment_ID"
"5495-30D" "oRG50_oRG51" 0 0 NA 13
"5495-30D" "oRG50_oRG51" 1 0.309363635131192 0.033958093238491 13
"5495-30D" "oRG50_oRG51" 2 0.733272599190602 0.0407811217111237 13
"5495-30D" "oRG50_oRG51" 4 0.86557368620956 0.077550533423704 13
"5495-30D" "oRG52_oRG53" 0 0 NA 13
"5495-30D" "oRG52_oRG53" 1 0.0172126264309926 0.00315558988551215 13
"5495-30D" "oRG52_oRG53" 2 0.0478344162564883 0.00706099061038822 13
"5495-30D" "oRG52_oRG53" 4 0.132915001828906 0.0243033241928082 13
"5692-15B" "oRG50_oRG51" 0 0 NA 13
"5692-15B" "oRG50_oRG51" 1 0.16764677745518 0.018022405714739 13
"5692-15B" "oRG50_oRG51" 2 0.507508220413911 0.0379443586131107 13
"5692-15B" "oRG50_oRG51" 4 0.759122386290087 0.0723430618078998 13
"5692-15B" "oRG52_oRG53" 0 0 NA 13
"5692-15B" "oRG52_oRG53" 1 0.0156618826570289 0.00228168627902072 13
"5692-15B" "oRG52_oRG53" 2 0.0268059331450892 0.00210370271216269 13
"5692-15B" "oRG52_oRG53" 4 0.0706970794403166 0.00855597455735211 13
"4518-13B" "oRG50_oRG51" 0 0 NA 14
"4518-13B" "oRG50_oRG51" 1 0.967628294067048 0.0722683126838091 14
"4518-13B" "oRG50_oRG51" 2 0.956483279382447 0.074948999126856 14
"4518-13B" "oRG50_oRG51" 4 0.9267256084801 0.049779295414956 14
"4518-13B" "oRG52_oRG53" 0 0 NA 14
"4518-13B" "oRG52_oRG53" 1 0.0692788803452318 0.0127071601158699 14
"4518-13B" "oRG52_oRG53" 2 0.225767430456251 0.0402230835841448 14
"4518-13B" "oRG52_oRG53" 4 0.424778303929462 0.0445453088467857 14
"5415" "oRG50_oRG51" 0 0 NA 14
"5415" "oRG50_oRG51" 1 0.566192532213664 0.0898862180791432 14
"5415" "oRG50_oRG51" 2 0.704540347008674 0.186999078202968 14
"5415" "oRG50_oRG51" 4 0.920793043527523 0.0736553129931743 14
"5415" "oRG52_oRG53" 0 0 NA 14
"5415" "oRG52_oRG53" 1 0.0817731754718043 0.0135308298279258 14
"5415" "oRG52_oRG53" 2 0.068643485823473 0.01121083379792 14
"5415" "oRG52_oRG53" 4 0.119139156346001 0.0158047944673412 14
"5495-30D" "oRG50_oRG51" 0 0 NA 14
"5495-30D" "oRG50_oRG51" 1 0.253161843981625 0.0334010695998011 14
"5495-30D" "oRG50_oRG51" 2 0.71936010192671 0.0432123471490024 14
"5495-30D" "oRG50_oRG51" 4 0.856891200948815 0.0606583443329072 14
"5495-30D" "oRG52_oRG53" 0 0 NA 14
"5495-30D" "oRG52_oRG53" 1 0.0156499318881117 0.00142991354386913 14
"5495-30D" "oRG52_oRG53" 2 0.0473637674967652 0.00376089562404532 14
"5495-30D" "oRG52_oRG53" 4 0.130269767000973 0.013554552050514 14
"5692-15B" "oRG50_oRG51" 0 0 NA 14
"5692-15B" "oRG50_oRG51" 1 0.160903852696828 0.01490293930641 14
"5692-15B" "oRG50_oRG51" 2 0.518152114741158 0.077309017737719 14
"5692-15B" "oRG50_oRG51" 4 0.751149072814413 0.0713728003166634 14
"5692-15B" "oRG52_oRG53" 0 0 NA 14
"5692-15B" "oRG52_oRG53" 1 0.0131257433889506 0.000416212808241372 14
"5692-15B" "oRG52_oRG53" 2 0.0209075791873982 0.00420499185841751 14
"5692-15B" "oRG52_oRG53" 4 0.0665648612745488 0.0111507922628243 14
"4518-13B" "oRG50_oRG51" 0 0 NA 15
"4518-13B" "oRG50_oRG51" 1 1.00760660662357 0.0752517145370725 15
"4518-13B" "oRG50_oRG51" 2 0.981309555865359 0.0676496614442322 15
"4518-13B" "oRG50_oRG51" 4 0.972072545110305 0.0761373904047294 15
"4518-13B" "oRG52_oRG53" 0 0 NA 15
"4518-13B" "oRG52_oRG53" 1 0.0669013565286252 0.00817498317955613 15
"4518-13B" "oRG52_oRG53" 2 0.201731725896544 0.0204008447418324 15
"4518-13B" "oRG52_oRG53" 4 0.351606886204898 0.0312449622757017 15
"5415" "oRG50_oRG51" 0 0 NA 15
"5415" "oRG50_oRG51" 1 0.574415155329222 0.100683902625454 15
"5415" "oRG50_oRG51" 2 0.794989307292623 0.0633393566251801 15
"5415" "oRG50_oRG51" 4 0.947253448330446 0.0795079983783297 15
"5415" "oRG52_oRG53" 0 0 NA 15
"5415" "oRG52_oRG53" 1 0.078339483905209 0.0160545863191142 15
"5415" "oRG52_oRG53" 2 0.0791628722105335 0.00661841052701366 15
"5415" "oRG52_oRG53" 4 0.120245181952167 0.0139432215920267 15
"5495-30D" "oRG50_oRG51" 0 0 NA 15
"5495-30D" "oRG50_oRG51" 1 0.269444593535311 0.0301193426292535 15
"5495-30D" "oRG50_oRG51" 2 0.723532375467359 0.0477851435472948 15
"5495-30D" "oRG50_oRG51" 4 0.850531237437065 0.0500853888893148 15
"5495-30D" "oRG52_oRG53" 0 0 NA 15
"5495-30D" "oRG52_oRG53" 1 0.0235382746835163 0.00429141185651095 15
"5495-30D" "oRG52_oRG53" 2 0.0544422647008197 0.00681866610997537 15
"5495-30D" "oRG52_oRG53" 4 0.123862896849432 0.0186062281583244 15
"5692-15B" "oRG50_oRG51" 0 0 NA 15
"5692-15B" "oRG50_oRG51" 1 0.166012327903981 0.0203402190464794 15
"5692-15B" "oRG50_oRG51" 2 0.502555026804584 0.0399658899765884 15
"5692-15B" "oRG50_oRG51" 4 0.748236590198242 0.0338328874544792 15
"5692-15B" "oRG52_oRG53" 0 0 NA 15
"5692-15B" "oRG52_oRG53" 1 0.0195953707186244 0.00171079387906609 15
"5692-15B" "oRG52_oRG53" 2 0.0275327620121447 0.00414882908020153 15
"5692-15B" "oRG52_oRG53" 4 0.0731315150936937 0.00641310742674172 15
"5415" "oRG50_oRG51" 0 0 0 16
"5415" "oRG50_oRG51" 1 0.624718696880247 0.17644418831589 16
"5415" "oRG50_oRG51" 2 0.806456820144757 0.0768844419763692 16
"5415" "oRG50_oRG51" 4 1.02605471238233 0.054770443122728 16
"5415" "oRG52_oRG53" 0 0 0 16
"5415" "oRG52_oRG53" 1 0.106196117474561 0.0303429605139622 16
"5415" "oRG52_oRG53" 2 0.0792419386746151 0.0108987617865282 16
"5415" "oRG52_oRG53" 4 0.132728301685064 0.0152474572292706 16
"4518-13B" "oRG50_oRG51" 0 0 0 16
"4518-13B" "oRG50_oRG51" 1 1.00496394031978 0.139464829209775 16
"4518-13B" "oRG50_oRG51" 2 0.959746087755463 0.0761381148046881 16
"4518-13B" "oRG50_oRG51" 4 0.992453538902531 0.0330323639495512 16
"4518-13B" "oRG52_oRG53" 0 0 0 16
"4518-13B" "oRG52_oRG53" 1 0.0857029972956098 0.0174761396658383 16
"4518-13B" "oRG52_oRG53" 2 0.255239083724853 0.0211257695181597 16
"4518-13B" "oRG52_oRG53" 4 0.40631418116719 0.0437067070348541 16
"5415" "oRG50_oRG51" 0 0 0 17
"5415" "oRG50_oRG51" 1 0.574407863137646 0.100683887966787 17
"5415" "oRG50_oRG51" 2 0.79236413702124 0.0539914378997666 17
"5415" "oRG50_oRG51" 4 0.991163856616572 0.0575776568489627 17
"5415" "oRG52_oRG53" 0 0 0 17
"5415" "oRG52_oRG53" 1 0.078881192560923 0.0149189560136647 17
"5415" "oRG52_oRG53" 2 0.0780910697291701 0.0102631590048192 17
"5415" "oRG52_oRG53" 4 0.124161509414567 0.0167513798512326 17
"5415" "oRG50_oRG51" 0 0 0 18
"5415" "oRG50_oRG51" 1 0.680648881631266 0.112329070027008 18
"5415" "oRG50_oRG51" 2 0.860898557435121 0.0910051954848868 18
"5415" "oRG50_oRG51" 4 0.957575579354683 0.101268589589298 18
"5415" "oRG52_oRG53" 0 0 0 18
"5415" "oRG52_oRG53" 1 0.178815470828165 0.0260209306294216 18
"5415" "oRG52_oRG53" 2 0.110303074535399 0.0115495709602621 18
"5415" "oRG52_oRG53" 4 0.16437999408183 0.0123074605413342 18
"5415" "oRG50_oRG51" 0 0 0 19
"5415" "oRG50_oRG51" 1 0.649446705554434 0.0983145251502552 19
"5415" "oRG50_oRG51" 2 0.774992745741206 0.0675269349111039 19
"5415" "oRG50_oRG51" 4 0.964776908866056 0.0787768329889724 19
"5415" "oRG52_oRG53" 0 0 0 19
"5415" "oRG52_oRG53" 1 0.157798205366879 0.0319794906560858 19
"5415" "oRG52_oRG53" 2 0.115111784537536 0.0153406648596042 19
"5415" "oRG52_oRG53" 4 0.159152032693336 0.0313374830889716 19
"4518-13B" "oRG50_oRG51" 0 0 0 20
"4518-13B" "oRG50_oRG51" 1 1.04853846571055 0.0638935127984737 20
"4518-13B" "oRG50_oRG51" 2 0.958924496443004 0.0371363213199476 20
"4518-13B" "oRG50_oRG51" 4 1.02450596905584 0.0707253735005678 20
"4518-13B" "oRG52_oRG53" 0 0 0 20
"4518-13B" "oRG52_oRG53" 1 0.0962729249422189 0.0103348733650104 20
"4518-13B" "oRG52_oRG53" 2 0.201493679254272 0.0162248925390075 20
"4518-13B" "oRG52_oRG53" 4 0.302893372707854 0.0221902434494222 20
"5415" "oRG50_oRG51" 0 0 0 20
"5415" "oRG50_oRG51" 1 0.550074905418585 0.0852818970320681 20
"5415" "oRG50_oRG51" 2 0.924362483327433 0.0762971802118441 20
"5415" "oRG50_oRG51" 4 0.907362437374496 0.0679643659197044 20
"5415" "oRG52_oRG53" 0 0 0 20
"5415" "oRG52_oRG53" 1 0.0821245338707704 0.0145333101196022 20
"5415" "oRG52_oRG53" 2 0.0805191335074857 0.0106117015121619 20
"5415" "oRG52_oRG53" 4 0.13075900079506 0.0130332576274259 20
"4518-13B" "oRG50_oRG51" 0 0 0 23
"4518-13B" "oRG50_oRG51" 1 0.779614056975967 0.0421803660951057 23
"4518-13B" "oRG50_oRG51" 2 0.847578780867918 0.0417839119958586 23
"4518-13B" "oRG50_oRG51" 4 0.831276166131742 0.089135144485913 23
"4518-13B" "oRG52_oRG53" 0 0 0 23
"4518-13B" "oRG52_oRG53" 1 0.037588343068095 0.00785524359467937 23
"4518-13B" "oRG52_oRG53" 2 0.0956587712740243 0.00558384804520344 23
"4518-13B" "oRG52_oRG53" 4 0.207049632221652 0.0123092234054279 23
"5415" "oRG50_oRG51" 0 0 0 23
"5415" "oRG50_oRG51" 1 0.393181944849361 0.0622985784221064 23
"5415" "oRG50_oRG51" 2 0.70634028636954 0.104502381834459 23
"5415" "oRG50_oRG51" 4 0.776051095904012 0.115508829375589 23
"5415" "oRG52_oRG53" 0 0 0 23
"5415" "oRG52_oRG53" 1 0.0427454640953882 0.00628714736111568 23
"5415" "oRG52_oRG53" 2 0.041358573511605 0.00577928336371507 23
"5415" "oRG52_oRG53" 4 0.0789144218888393 0.0130756267739916 23
"4518-13B" "oRG50_oRG51" 0 0 0 24
"4518-13B" "oRG50_oRG51" 1 0.951305437643402 0.0412646312122652 24
"4518-13B" "oRG50_oRG51" 2 0.92087181533634 0.0367887584690781 24
"4518-13B" "oRG50_oRG51" 4 0.90661822059877 0.0371724920263876 24
"4518-13B" "oRG52_oRG53" 0 0 0 24
"4518-13B" "oRG52_oRG53" 1 0.0495686756352649 0.00370240060774867 24
"4518-13B" "oRG52_oRG53" 2 0.102029819909383 0.00479257739875289 24
"4518-13B" "oRG52_oRG53" 4 0.21764978429099 0.0213964671696503 24
"5415" "oRG50_oRG51" 0 0 0 24
"5415" "oRG50_oRG51" 1 0.485795912886609 0.0838436840543801 24
"5415" "oRG50_oRG51" 2 0.797143717384142 0.0625879394132657 24
"5415" "oRG50_oRG51" 4 0.937316866352202 0.0432023176538893 24
"5415" "oRG52_oRG53" 0 0 0 24
"5415" "oRG52_oRG53" 1 0.039203709244171 0.00734659467484703 24
"5415" "oRG52_oRG53" 2 0.036879593659933 0.00460788243148791 24
"5415" "oRG52_oRG53" 4 0.0854837252716183 0.0115076492059893 24
"4518-13B" "oRG50_oRG51" 0 0 0 28
"4518-13B" "oRG50_oRG51" 1 0.881143226050899 0.0499130823884717 28
"4518-13B" "oRG50_oRG51" 2 0.990036165311087 0.0681273920330835 28
"4518-13B" "oRG50_oRG51" 4 0.946800203850616 0.0802991012544767 28
"4518-13B" "oRG52_oRG53" 0 0 0 28
"4518-13B" "oRG52_oRG53" 1 0.094719622560105 0.0114335363528575 28
"4518-13B" "oRG52_oRG53" 2 0.195079183051821 0.0117649063404931 28
"4518-13B" "oRG52_oRG53" 4 0.278314577003927 0.0418120618166075 28
"5415" "oRG50_oRG51" 0 0 0 28
"5415" "oRG50_oRG51" 1 0.584686581704087 0.0339467852440756 28
"5415" "oRG50_oRG51" 2 0.848730659721301 0.0375980314947775 28
"5415" "oRG50_oRG51" 4 0.923331497895135 0.127884486226669 28
"5415" "oRG52_oRG53" 0 0 0 28
"5415" "oRG52_oRG53" 1 0.0464680344366027 0.00623821361114075 28
"5415" "oRG52_oRG53" 2 0.0629817717721609 0.00604428254631885 28
"5415" "oRG52_oRG53" 4 0.136824124635035 0.0204909985021101 28
"4518-13B" "oRG50_oRG51" 0 0 0 29
"4518-13B" "oRG50_oRG51" 1 0.880814615002382 0.0267024886498645 29
"4518-13B" "oRG50_oRG51" 2 0.97071339120236 0.0574974550910479 29
"4518-13B" "oRG50_oRG51" 4 0.912590886797455 0.0560585300072171 29
"4518-13B" "oRG52_oRG53" 0 0 0 29
"4518-13B" "oRG52_oRG53" 1 0.0703061576466621 0.00712522641641994 29
