"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG50_oRG51" 2 0.996441441212652 0.0685215925266173 9
"4518-13B" "oRG50_oRG51" 4 0.967079990871683 0.0410873378456308 9
"4518-13B" "oRG52_oRG53" 0 0 NA 9
"4518-13B" "oRG52_oRG53" 1 0.0551735231316274 0.0113548167413195 9
"4518-13B" "oRG52_oRG53" 2 0.204592111036312 0.0230688067684087 9
"4518-13B" "oRG52_oRG53" 4 0.378204740245448 0.0371107207331136 9
"4822-3C" "oRG50_oRG51" 0 0 NA 9
"4822-3C" "oRG50_oRG51" 1 0.962210956568159 0.0984495085936903 9
"4822-3C" "oRG50_oRG51" 2 1.03749351888206 0.106750950693603 9
"4822-3C" "oRG50_oRG51" 4 0.970896734469413 0.0789938660386691 9
"4822-3C" "oRG52_oRG53" 0 0 NA 9
"4822-3C" "oRG52_oRG53" 1 0.0653675458328724 0.00965570900328147 9
"4822-3C" "oRG52_oRG53" 2 0.247814716535094 0.0354302830246943 9
"4822-3C" "oRG52_oRG53" 4 0.553050081194805 0.0623461445416464 9
"4994-89A" "oRG50_oRG51" 0 0 NA 9
"4994-89A" "oRG50_oRG51" 1 0.872211882714497 0.0834793710666898 9
"4994-89A" "oRG50_oRG51" 2 0.963050139852597 0.113118632323712 9
"4994-89A" "oRG50_oRG51" 4 0.877036348752789 0.0400710655038801 9
"4994-89A" "oRG52_oRG53" 0 0 NA 9
"4994-89A" "oRG52_oRG53" 1 0.0422247323720165 0.00521525832994232 9
"4994-89A" "oRG52_oRG53" 2 0.128048481909446 0.0239927975426466 9
"4994-89A" "oRG52_oRG53" 4 0.281261256804484 0.0154728339425071 9
"4518-13B" "oRG50_oRG51" 0 0 NA 10
"4518-13B" "oRG50_oRG51" 1 0.813729076841254 0.162426802573045 10
"4518-13B" "oRG50_oRG51" 2 0.920982278971892 0.138764750737566 10
"4518-13B" "oRG50_oRG51" 4 0.886392179447181 0.107993304415092 10
"4518-13B" "oRG52_oRG53" 0 0 NA 10
"4518-13B" "oRG52_oRG53" 1 0.0747171912862704 0.0217978425337621 10
"4518-13B" "oRG52_oRG53" 2 0.126608769176165 0.0340543840919732 10
"4518-13B" "oRG52_oRG53" 4 0.252513055370699 0.0456371645227737 10
"4822-3C" "oRG50_oRG51" 0 0 NA 10
"4822-3C" "oRG50_oRG51" 1 0.857292277198212 0.0864376309457115 10
"4822-3C" "oRG50_oRG51" 2 0.909549167280631 0.114446640122533 10
"4822-3C" "oRG50_oRG51" 4 0.955104982962882 0.102614345899841 10
"4822-3C" "oRG52_oRG53" 0 0 NA 10
"4822-3C" "oRG52_oRG53" 1 0.0638206075472976 0.00683043976756922 10
"4822-3C" "oRG52_oRG53" 2 0.311914402103387 0.0310302336363447 10
"4822-3C" "oRG52_oRG53" 4 0.634535771605137 0.109821737080682 10
"4994-89A" "oRG50_oRG51" 0 0 NA 10
"4994-89A" "oRG50_oRG51" 1 0.802051486881288 0.141725522103531 10
"4994-89A" "oRG50_oRG51" 2 0.9130968493987 0.0705314902714123 10
"4994-89A" "oRG50_oRG51" 4 0.925786354280475 0.0728003945946374 10
"4994-89A" "oRG52_oRG53" 0 0 NA 10
"4994-89A" "oRG52_oRG53" 1 0.0443962672236939 0.0157540910170634 10
"4994-89A" "oRG52_oRG53" 2 0.103739677350769 0.016678319429995 10
"4994-89A" "oRG52_oRG53" 4 0.205737408193061 0.0346331621363919 10
"4518-13B" "oRG50_oRG51" 0 0 NA 11
"4518-13B" "oRG50_oRG51" 1 1.03406667271361 0.11364434860804 11
"4518-13B" "oRG50_oRG51" 2 0.960977190273176 0.104884547684765 11
"4518-13B" "oRG50_oRG51" 4 0.944196556504955 0.12652510023477 11
"4518-13B" "oRG52_oRG53" 0 0 NA 11
"4518-13B" "oRG52_oRG53" 1 0.0475944276746998 0.00913367570865343 11
"4518-13B" "oRG52_oRG53" 2 0.16216142934313 0.0318325940219706 11
"4518-13B" "oRG52_oRG53" 4 0.354661269144977 0.0950818220939708 11
"4822-3C" "oRG50_oRG51" 0 0 NA 11
"4822-3C" "oRG50_oRG51" 1 0.89012775948548 0.117066421775236 11
"4822-3C" "oRG50_oRG51" 2 0.906006925242778 0.0637510975857404 11
"4822-3C" "oRG50_oRG51" 4 0.938260763547804 0.10035550222251 11
"4822-3C" "oRG52_oRG53" 0 0 NA 11
"4822-3C" "oRG52_oRG53" 1 0.0490273939123598 0.010446716709081 11
"4822-3C" "oRG52_oRG53" 2 0.169036132281693 0.0255925281465014 11
"4822-3C" "oRG52_oRG53" 4 0.4044825100412 0.0402314267418955 11
"4994-89A" "oRG50_oRG51" 0 0 NA 11
"4994-89A" "oRG50_oRG51" 1 0.805955324257836 0.125786454443116 11
"4994-89A" "oRG50_oRG51" 2 0.923075302470021 0.0743729386598368 11
"4994-89A" "oRG50_oRG51" 4 0.999840163297279 0.0774248757319514 11
"4994-89A" "oRG52_oRG53" 0 0 NA 11
"4994-89A" "oRG52_oRG53" 1 0.0501034217198391 0.0114248419525773 11
"4994-89A" "oRG52_oRG53" 2 0.141415962355285 0.0235329164895898 11
"4994-89A" "oRG52_oRG53" 4 0.329303684730645 0.057812154202018 11
"4518-13B" "oRG50_oRG51" 0 0 NA 12
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 12
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 12
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 12
"4518-13B" "oRG52_oRG53" 0 0 NA 12
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 12
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 12
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 12
"5758" "oRG50_oRG51" 0 0 NA 12
"5758" "oRG50_oRG51" 1 0.943877420847426 0.0795533121185414 12
"5758" "oRG50_oRG51" 2 0.984819354436699 0.0521710065012942 12
"5758" "oRG50_oRG51" 4 1.00372370839159 0.0809199527664623 12
"5758" "oRG52_oRG53" 0 0 NA 12
"5758" "oRG52_oRG53" 1 0.113228677546342 0.0134293334005601 12
"5758" "oRG52_oRG53" 2 0.180459790588164 0.020369296501404 12
"5758" "oRG52_oRG53" 4 0.412091392400113 0.0598149297352738 12
"4518-13B" "oRG50_oRG51" 0 0 0 13
"4518-13B" "oRG50_oRG51" 1 0.881143226050899 0.0499130823884717 13
"4518-13B" "oRG50_oRG51" 2 0.990036165311087 0.0681273920330835 13
"4518-13B" "oRG50_oRG51" 4 0.946800203850616 0.0802991012544767 13
"4518-13B" "oRG52_oRG53" 0 0 0 13
"4518-13B" "oRG52_oRG53" 1 0.094719622560105 0.0114335363528575 13
"4518-13B" "oRG52_oRG53" 2 0.195079183051821 0.0117649063404931 13
"4518-13B" "oRG52_oRG53" 4 0.278314577003927 0.0418120618166075 13
"4994-89A" "oRG50_oRG51" 0 0 0 13
"4994-89A" "oRG50_oRG51" 1 0.833936249821069 0.0912433067899446 13
"4994-89A" "oRG50_oRG51" 2 0.939182046916992 0.0443838009839101 13
"4994-89A" "oRG50_oRG51" 4 0.905870301818172 0.0730058201632587 13
"4994-89A" "oRG52_oRG53" 0 0 0 13
"4994-89A" "oRG52_oRG53" 1 0.0804602566152152 0.00840903828227259 13
"4994-89A" "oRG52_oRG53" 2 0.116429525907244 0.0132282102113275 13
"4994-89A" "oRG52_oRG53" 4 0.198035684538534 0.0146018064494504 13
"5415" "oRG50_oRG51" 0 0 0 13
"5415" "oRG50_oRG51" 1 0.584686581704087 0.0339467852440756 13
"5415" "oRG50_oRG51" 2 0.848730659721301 0.0375980314947775 13
"5415" "oRG50_oRG51" 4 0.923331497895135 0.127884486226669 13
"5415" "oRG52_oRG53" 0 0 0 13
"5415" "oRG52_oRG53" 1 0.0464680344366027 0.00623821361114075 13
"5415" "oRG52_oRG53" 2 0.0629817717721609 0.00604428254631885 13
